endroit,date_debut,date_fin,n_jours_tot,n_jours_mes,n_jours_miss
Albury,2008-12-01,2017-06-25,3128 days,3040,88
BadgerysCreek,2009-01-01,2017-06-25,3097 days,3009,88
Cobar,2009-01-01,2017-06-25,3097 days,3009,88
CoffsHarbour,2009-01-01,2017-06-25,3097 days,3009,88
Moree,2009-01-01,2017-06-25,3097 days,3009,88
Newcastle,2008-12-01,2017-06-24,3127 days,3039,88
NorahHead,2009-01-01,2017-06-25,3097 days,3004,93
NorfolkIsland,2009-01-01,2017-06-25,3097 days,3009,88
Penrith,2008-12-01,2017-06-25,3128 days,3039,89
Richmond,2009-01-01,2017-06-25,3097 days,3009,88
Sydney,2008-02-01,2017-06-25,3432 days,3344,88
SydneyAirport,2009-01-01,2017-06-25,3097 days,3009,88
WaggaWagga,2009-01-01,2017-06-25,3097 days,3009,88
Williamtown,2009-01-01,2017-06-25,3097 days,3009,88
Wollongong,2008-12-01,2017-06-25,3128 days,3040,88
Canberra,2007-11-01,2017-06-25,3524 days,3436,88
Tuggeranong,2008-12-01,2017-06-25,3128 days,3039,89
MountGinini,2008-12-01,2017-06-25,3128 days,3040,88
Ballarat,2008-12-01,2017-06-25,3128 days,3040,88
Bendigo,2008-12-01,2017-06-25,3128 days,3040,88
Sale,2009-01-01,2017-06-25,3097 days,3009,88
MelbourneAirport,2009-01-01,2017-06-25,3097 days,3009,88
Melbourne,2008-07-01,2017-06-25,3281 days,3193,88
Mildura,2009-01-01,2017-06-25,3097 days,3009,88
Nhil,2013-03-01,2017-06-25,1577 days,1578,-1
Portland,2009-01-01,2017-06-25,3097 days,3009,88
Watsonia,2009-01-01,2017-06-25,3097 days,3009,88
Dartmoor,2009-01-01,2017-06-25,3097 days,3009,88
Brisbane,2008-07-01,2017-06-25,3281 days,3193,88
Cairns,2008-12-01,2017-06-25,3128 days,3040,88
GoldCoast,2008-12-01,2017-06-25,3128 days,3040,88
Townsville,2008-12-01,2017-06-25,3128 days,3040,88
Adelaide,2008-07-01,2017-06-25,3281 days,3193,88
MountGambier,2008-12-01,2017-06-25,3128 days,3040,88
Nuriootpa,2009-01-01,2017-06-25,3097 days,3009,88
Woomera,2009-01-01,2017-06-25,3097 days,3009,88
Albany,2008-12-01,2017-06-25,3128 days,3040,88
Witchcliffe,2009-01-01,2017-06-25,3097 days,3009,88
PearceRAAF,2009-01-01,2017-06-25,3097 days,3009,88
PerthAirport,2009-01-01,2017-06-25,3097 days,3009,88
Perth,2008-07-01,2017-06-25,3281 days,3193,88
SalmonGums,2009-01-01,2017-06-25,3097 days,3001,96
Walpole,2009-01-01,2017-06-25,3097 days,3006,91
Hobart,2008-07-01,2017-06-25,3281 days,3193,88
Launceston,2008-12-01,2017-06-25,3128 days,3040,88
AliceSprings,2008-12-01,2017-06-25,3128 days,3040,88
Darwin,2008-07-01,2017-06-25,3281 days,3193,88
Katherine,2013-03-01,2017-06-25,1577 days,1578,-1
Uluru,2013-03-01,2017-06-25,1577 days,1578,-1
