,NFeatsRemoved,f1_0_train,f1_1_train,f1_0_test,f1_1_test
0,1,1.0,1.0,0.9093656689243318,0.6782159017453135
1,2,1.0,1.0,0.908822887093252,0.6756441797229055
2,3,1.0,1.0,0.9090048945577612,0.6759961127308067
3,4,1.0,1.0,0.9081807259620636,0.6737386804657179
4,5,1.0,1.0,0.908759523201983,0.6776146316331788
5,6,1.0,1.0,0.9070140865630246,0.6731237973059655
6,7,1.0,1.0,0.9067824437228648,0.6719311761684642
7,8,1.0,1.0,0.9073607305936072,0.6757862439273844
8,9,1.0,1.0,0.907859177561902,0.6771593090211133
9,10,1.0,1.0,0.906913922756808,0.673202614379085
10,11,0.9999878329216805,0.9999878329216805,0.9050189376612446,0.6702242551299156
11,12,0.9999878330697165,0.999987832773641,0.9053589706097382,0.6698125239127662
12,13,0.9999756658433611,0.9999756658433611,0.9044441185098269,0.6711671924290221
13,14,0.9999756658433611,0.9999756658433611,0.9037366351912407,0.6716791979949874
14,15,0.9999756655472819,0.999975666139433,0.9034069018658154,0.6685969660728897
15,16,0.9999513328709956,0.9999513305023909,0.9016182420007356,0.66591732234295
16,17,0.9995255647604102,0.9995254031031335,0.9013525433695972,0.6640380523219427
17,18,0.9995255647604102,0.9995254031031335,0.9004505747126436,0.6620887695861165
18,19,0.9995255705318477,0.9995253973276218,0.8981766560351027,0.6580820900142389
19,20,0.9993007205618558,0.9993000651243753,0.8993244235570569,0.6555709081773646
20,21,0.9992824915783969,0.9992817928398398,0.8920574021470469,0.6383189122373302
21,22,0.99915479426233,0.9991539814606297,0.8920493173841941,0.6321457641976083
22,23,0.9988205683158445,0.9988190174712364,0.8887737350557057,0.6326405867970659
23,24,0.9988144671485807,0.9988129516110377,0.8876326381266009,0.6096351849497903
24,25,0.9895969419848066,0.9894749724635907,0.8836236431173139,0.5678896625602571
25,26,0.9809259349080857,0.9807959956049324,0.8710235446218839,0.5423531692188409
26,27,0.9140192397935241,0.907389623189871,0.8774508935687845,0.503480444922856
